wavelength_um,rsr_watts,spectra_type,,,,
1.915E+00,4.4076283E-02,lawn_grass,,,,
1.925E+00,4.2852912E-02,lawn_grass,,,,
1.9349999E+00,4.1856531E-02,lawn_grass,,,,
1.9449999E+00,4.1895986E-02,lawn_grass,,,,
1.9549999E+00,4.3197982E-02,lawn_grass,,,,
1.9649999E+00,5.0797366E-02,lawn_grass,,,,
1.975E+00,5.2930754E-02,lawn_grass,,,,
1.985E+00,5.9399318E-02,lawn_grass,,,,
1.995E+00,6.2343225E-02,lawn_grass,,,,
2.0050001E+00,6.904126E-02,lawn_grass,,,,
2.0150001E+00,7.7038623E-02,lawn_grass,,,,
2.0250001E+00,8.1491508E-02,lawn_grass,,,,
2.0350001E+00,8.6542584E-02,lawn_grass,,,,
2.0450001E+00,9.1332689E-02,lawn_grass,,,,
2.0550001E+00,1.0007671E-01,lawn_grass,,,,
2.0650001E+00,1.0540361E-01,lawn_grass,,,,
2.075E+00,1.1177906E-01,lawn_grass,,,,
2.085E+00,1.1772368E-01,lawn_grass,,,,
2.095E+00,1.2378275E-01,lawn_grass,,,,
2.105E+00,1.3207424E-01,lawn_grass,,,,
2.115E+00,1.3820131E-01,lawn_grass,,,,
2.125E+00,1.4338222E-01,lawn_grass,,,,
2.135E+00,1.442688E-01,lawn_grass,,,,
2.145E+00,1.5236752E-01,lawn_grass,,,,
2.155E+00,1.5315281E-01,lawn_grass,,,,
2.165E+00,1.5804017E-01,lawn_grass,,,,
2.175E+00,1.5868266E-01,lawn_grass,,,,
2.1849999E+00,1.6037275E-01,lawn_grass,,,,
2.1949999E+00,1.6493003E-01,lawn_grass,,,,
2.2050002E+00,1.6515234E-01,lawn_grass,,,,
2.2150002E+00,1.6728462E-01,lawn_grass,,,,
2.2250001E+00,1.6753705E-01,lawn_grass,,,,
2.2350001E+00,1.6378671E-01,lawn_grass,,,,
2.2450001E+00,1.6439398E-01,lawn_grass,,,,
2.2550001E+00,1.5385363E-01,lawn_grass,,,,
2.2650001E+00,1.5621506E-01,lawn_grass,,,,
2.2750001E+00,1.4771096E-01,lawn_grass,,,,
2.2850001E+00,1.417893E-01,lawn_grass,,,,
2.2950001E+00,1.3395546E-01,lawn_grass,,,,
2.3050001E+00,1.2682612E-01,lawn_grass,,,,
2.3150001E+00,1.241945E-01,lawn_grass,,,,
2.325E+00,1.188546E-01,lawn_grass,,,,
2.335E+00,1.1408017E-01,lawn_grass,,,,
2.345E+00,1.0906009E-01,lawn_grass,,,,
2.355E+00,1.0380725E-01,lawn_grass,,,,
2.365E+00,1.0156707E-01,lawn_grass,,,,
2.375E+00,9.7084314E-02,lawn_grass,,,,
2.3859999E+00,9.0936147E-02,lawn_grass,,,,
2.4000001E+00,8.3770171E-02,lawn_grass,,,,
2.418E+00,7.5557396E-02,lawn_grass,,,,
2.4400001E+00,6.6522092E-02,lawn_grass,,,,
2.4660001E+00,5.5095855E-02,lawn_grass,,,,
2.4960001E+00,4.6106782E-02,lawn_grass,,,,
2.5279999E+00,4.2232346E-02,lawn_grass,,,,
2.5599999E+00,4.391104E-02,lawn_grass,,,,
2.592E+00,4.0236287E-02,lawn_grass,,,,
2.6239998E+00,3.3967197E-02,lawn_grass,,,,
2.6559999E+00,2.9759968E-02,lawn_grass,,,,
2.6879997E+00,1.4387154E-02,lawn_grass,,,,
2.72E+00,5.7988111E-03,lawn_grass,,,,
2.7520001E+00,1.3545633E-03,lawn_grass,,,,
2.7839999E+00,1.9717876E-02,lawn_grass,,,,
2.816E+00,1.8823273E-03,lawn_grass,,,,
2.8479998E+00,-1.23E+34,lawn_grass,,,,
2.8799999E+00,7.9180188E-03,lawn_grass,,,,
2.9120002E+00,1.3581227E-02,lawn_grass,,,,
2.944E+00,1.2342921E-02,lawn_grass,,,,
2.9760001E+00,3.4527045E-03,lawn_grass,,,,
2.0510000E-01,-1.2300000E+34,h2o_ice,,,,
2.1310002E-01,-1.2300000E+34,h2o_ice,,,,
2.2110000E-01,-1.2300000E+34,h2o_ice,,,,
2.2910000E-01,-1.2300000E+34,h2o_ice,,,,
2.3610000E-01,-1.2300000E+34,h2o_ice,,,,
2.4210002E-01,-1.2300000E+34,h2o_ice,,,,
2.4810001E-01,-1.2300000E+34,h2o_ice,,,,
2.5360000E-01,-1.2300000E+34,h2o_ice,,,,
2.5860000E-01,-1.2300000E+34,h2o_ice,,,,
